,Session_ID,Item_ID,TotalTimeItem
0,70,214672841,0.0
1,70,214712272,0.0
2,70,214820252,0.0
3,70,214827022,0.0
4,75,214639841,0.0
5,75,214652255,0.0
6,75,214652437,0.0
7,75,214668575,0.0
8,75,214705003,0.0
9,75,214716984,0.0
10,75,214829428,0.0
11,85,214706452,0.0
12,90,214684513,0.0
13,135,214539834,0.0
14,135,214636505,0.0
15,135,214664767,0.0
16,220,214534704,0.0
17,220,214710309,0.0
18,220,214716939,0.0
19,220,214717005,0.0
20,220,214717007,0.0
21,220,214819378,0.0
22,220,214821022,0.0
23,220,214821371,0.0
24,220,214826715,0.0
25,220,214832653,0.0
26,220,214840378,0.0
27,230,214821020,0.0
28,245,214716928,0.0
29,245,214716937,0.0
30,245,214716939,0.0
31,245,214716973,0.0
32,245,214716977,0.0
33,275,214551911,0.0
34,280,214607212,0.0
35,295,214509000,0.0
36,295,214601049,0.0
37,310,214717888,0.0
38,310,214819552,0.0
39,310,214832557,0.0
40,345,214718169,0.0
41,345,214819427,0.0
42,345,214821022,0.0
43,345,214821024,0.0
44,390,214685805,0.0
45,395,214718203,0.0
46,435,214840412,0.0
47,455,214530457,0.0
48,455,214551890,0.0
49,455,214551894,0.0
50,455,214568090,0.0
51,455,214716973,0.0
52,455,214717007,0.0
53,455,214829741,0.0
54,455,214832653,0.0
55,455,214838368,0.0
