,Index,Session_ID,Timestamp,Item_ID,Category,Buy
0,49,70,2014-04-05T12:41:35.624Z,214827022,0,0
1,50,70,2014-04-05T12:42:21.261Z,214712272,0,0
2,51,70,2014-04-05T12:44:57.698Z,214827022,0,0
3,52,70,2014-04-05T12:54:44.956Z,214672841,0,0
4,53,70,2014-04-05T12:58:46.219Z,214820252,0,0
5,54,70,2014-04-05T12:59:56.973Z,214820252,0,0
9,58,75,2014-04-05T21:04:32.042Z,214652255,0,0
10,59,75,2014-04-05T21:04:54.370Z,214705003,0,0
11,60,75,2014-04-05T21:05:24.692Z,214652255,0,0
12,61,75,2014-04-05T21:05:46.205Z,214829428,0,0
13,62,75,2014-04-05T21:09:04.649Z,214652437,0,0
14,63,75,2014-04-05T21:10:30.632Z,214668575,0,0
15,64,75,2014-04-05T21:12:07.265Z,214639841,0,0
16,65,75,2014-04-05T21:12:58.093Z,214716984,0,0
17,66,85,2014-04-06T18:04:00.217Z,214706452,0,0
18,67,85,2014-04-06T19:03:05.102Z,214706452,0,0
28,77,90,2014-04-06T08:49:45.772Z,214684513,0,0
29,78,90,2014-04-06T09:47:33.110Z,214684513,0,0
30,79,90,2014-04-06T09:48:15.678Z,214684513,0,0
31,80,90,2014-04-06T09:51:43.430Z,214684513,0,0
32,81,90,2014-04-06T09:52:04.786Z,214684513,0,0
52,101,135,2014-04-05T19:40:32.775Z,214539834,0,0
53,102,135,2014-04-05T19:51:13.266Z,214636505,0,0
54,103,135,2014-04-05T19:53:54.891Z,214636505,0,0
55,104,135,2014-04-05T19:54:43.266Z,214664767,0,0
56,105,135,2014-04-05T19:55:01.163Z,214636505,0,0
57,106,135,2014-04-05T19:58:24.567Z,214636505,0,0
97,146,220,2014-04-01T19:05:28.906Z,214821371,0,0
98,147,220,2014-04-01T19:06:15.995Z,214534704,0,0
99,148,220,2014-04-01T19:10:26.453Z,214819378,0,0
100,149,220,2014-04-01T19:12:34.791Z,214819378,0,0
101,150,220,2014-04-01T19:14:01.423Z,214821022,0,0
102,151,220,2014-04-01T19:17:08.799Z,214826715,0,0
103,152,220,2014-04-01T19:18:00.634Z,214840378,0,0
104,153,220,2014-04-01T19:19:16.140Z,214710309,0,0
105,154,220,2014-04-01T19:25:00.453Z,214832653,0,0
106,155,220,2014-04-01T19:26:27.052Z,214717007,0,0
107,156,220,2014-04-01T19:27:53.094Z,214717005,0,0
108,157,220,2014-04-01T19:28:11.932Z,214717007,0,0
109,158,220,2014-04-01T19:29:13.955Z,214716939,0,0
126,175,230,2014-04-03T12:56:36.071Z,214821020,0,0
127,176,230,2014-04-03T12:59:23.751Z,214821020,0,0
128,177,230,2014-04-03T13:00:13.489Z,214821020,0,0
129,178,230,2014-04-03T13:01:17.138Z,214821020,0,0
130,179,230,2014-04-03T13:01:39.051Z,214821020,0,0
138,187,245,2014-04-04T19:38:39.053Z,214716973,0,0
139,188,245,2014-04-04T19:40:39.899Z,214716937,0,0
140,189,245,2014-04-04T19:40:58.531Z,214716939,0,0
141,190,245,2014-04-04T19:41:22.149Z,214716977,0,0
142,191,245,2014-04-04T19:42:18.418Z,214716973,0,0
143,192,245,2014-04-04T19:42:34.129Z,214716973,0,0
144,193,245,2014-04-04T19:45:38.114Z,214716928,0,0
147,196,275,2014-04-01T09:05:52.459Z,214551911,0,0
148,197,275,2014-04-01T09:08:37.230Z,214551911,0,0
149,198,275,2014-04-01T09:17:18.150Z,214551911,0,0
150,199,275,2014-04-01T09:17:38.406Z,214551911,0,0
151,200,280,2014-04-07T09:10:25.152Z,214607212,0,0
152,201,280,2014-04-07T09:10:44.242Z,214607212,0,0
153,202,280,2014-04-07T09:10:46.857Z,214607212,0,0
154,203,280,2014-04-07T09:10:49.590Z,214607212,0,0
165,214,310,2014-04-03T05:23:11.466Z,214819552,0,0
166,215,310,2014-04-03T05:23:57.112Z,214819552,0,0
167,216,310,2014-04-03T05:24:01.250Z,214717888,0,0
168,217,310,2014-04-03T05:24:20.803Z,214832557,0,0
169,218,310,2014-04-03T05:24:47.750Z,214717888,0,0
170,219,310,2014-04-03T05:25:12.480Z,214832557,0,0
171,220,310,2014-04-03T05:25:14.273Z,214717888,0,0
176,225,295,2014-04-01T15:19:56.363Z,214509000,0,0
177,226,295,2014-04-01T15:21:10.956Z,214509000,0,0
